userID1,userID2,user1Follows2,user2Follows1,numberOfMentions,NumberOfReplies,NumberOfRetweets,TrustScore
8811,13113,1,1,0,0,1,2
12392,6470,0,1,0,0,2,1
6794,14316,1,0,13,0,18,4
1352,8336,1,1,0,2,0,2
12949,11409,1,1,0,0,0,2
14082,178,1,0,1,0,0,2
14082,8933,1,1,7,6,7,4
13140,8675,1,0,0,0,0,1
4139,13125,1,1,0,0,1,2
12229,12726,1,1,7,5,2,4
14540,12184,1,1,0,0,0,2
3546,452,1,1,1,1,1,2
12392,8178,0,1,0,0,1,1
5503,4962,0,1,0,0,1,1
11005,7908,1,0,1,0,0,2
12894,12908,0,1,0,0,1,1
10487,4009,1,1,4,0,3,3
3230,8086,0,1,0,0,0,1
2584,1244,1,0,4,1,0,2
12506,5815,1,1,0,0,1,2
1937,5561,1,0,1,0,0,2
6404,13001,0,1,0,0,0,1
5503,6855,0,1,0,0,1,1
3230,11476,1,1,0,0,0,2
13140,7000,1,1,0,0,0,1
14082,2712,1,1,13,2,0,4
14540,825,0,1,0,0,0,1
14540,12880,1,1,2,0,0,2
6435,180,1,0,16,0,0,4
1517,13576,1,0,4,0,0,2
4139,795,1,1,5,1,8,4
12144,13770,1,0,2,0,0,2
9662,13381,1,1,14,1,58,4
4369,6234,0,1,1,0,0,1
14540,10521,1,0,1,0,0,2
14082,3011,1,1,0,1,0,2
13140,9203,1,1,0,0,13,4
8648,9163,1,1,0,1,1,3
12046,10182,0,1,0,0,0,1
13140,10747,0,1,0,0,0,1
5894,10431,1,1,0,1,0,2
14598,4242,1,1,58,0,0,4
2604,14159,1,1,2,0,0,2
13140,5078,1,0,0,0,0,1
157,12806,1,0,2,0,0,2
10885,8523,0,1,1,0,0,1
14540,13325,1,1,0,0,0,2
1937,13085,1,1,1,0,1,2
1352,13681,0,1,0,1,0,1
11769,10524,0,1,1,0,0,1
10182,10463,1,1,0,0,2,2
9291,13336,1,1,3,0,1,3
13140,7155,0,1,0,0,0,1
10193,11674,1,1,1,0,4,3
10193,13184,0,1,2,4,7,4
12208,9834,1,0,0,1,0,1
14082,9822,1,1,3,0,1,3
2532,12849,1,1,0,0,6,3
10182,11391,1,0,0,0,1,2
13140,14473,1,0,0,0,0,1
14540,7862,1,1,31,3,10,4
11772,12958,1,0,1,0,0,3
11037,11997,1,1,3,0,5,4
4621,13704,0,1,0,0,2,1
9422,6489,1,1,0,3,0,2
13140,8833,0,1,0,0,0,1
2604,9839,1,1,0,0,1,2
6404,12865,1,0,0,0,0,1
11772,12828,1,1,3,0,0,3
14082,10655,1,1,0,0,1,2
13140,1435,0,1,0,0,0,1
